,Survived,Pclass,Sex,Fare,FamilySize,Age_cat,Initial_0,Initial_1,Initial_2,Initial_3,Initial_4,Embarked_C,Embarked_Q,Embarked_S
0,0,3,1,1.9810014688665833,2,2,0,0,1,0,0,0,0,1
1,1,1,0,4.26666207838721,2,3,0,0,0,1,0,1,0,0
2,1,3,0,2.0700223197633445,1,2,0,1,0,0,0,0,0,1
3,1,1,0,3.9721769282478934,2,3,0,0,0,1,0,0,0,1
4,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
5,0,3,1,2.135148207799377,1,3,0,0,1,0,0,0,1,0
6,0,1,1,3.948595985658986,1,5,0,0,1,0,0,0,0,1
7,0,3,1,3.048087503887919,5,0,1,0,0,0,0,0,0,1
8,1,3,0,2.409940617298087,3,2,0,0,0,1,0,0,0,1
9,1,2,0,3.4035546012358333,2,1,0,0,0,1,0,1,0,0
10,1,3,0,2.8154087194227095,3,0,0,1,0,0,0,0,0,1
11,1,1,0,3.279029747687948,1,5,0,1,0,0,0,0,0,1
12,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
13,0,3,1,3.442819056352975,7,3,0,0,1,0,0,0,0,1
14,0,3,0,2.061048420562944,1,1,0,1,0,0,0,0,0,1
15,1,2,0,2.772588722239781,1,5,0,0,0,1,0,0,0,1
16,0,3,1,3.371596911885865,6,0,1,0,0,0,0,0,1,0
17,1,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
18,0,3,0,2.8903717578961645,2,3,0,0,0,1,0,0,0,1
19,1,3,0,1.9775472339984959,1,3,0,0,0,1,0,1,0,0
20,0,2,1,3.258096538021482,1,3,0,0,1,0,0,0,0,1
21,1,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
22,1,3,0,2.0830848965946345,1,1,0,1,0,0,0,0,1,0
23,1,1,1,3.56953269648137,1,2,0,0,1,0,0,0,0,1
24,0,3,0,3.048087503887919,5,0,0,1,0,0,0,0,0,1
25,1,3,0,3.4464097244837033,7,3,0,0,0,1,0,0,0,1
26,0,3,1,1.9775472339984959,1,3,0,0,1,0,0,1,0,0
27,0,1,1,5.572154032177765,6,1,0,0,1,0,0,0,0,1
28,1,3,0,2.0642263758733557,1,2,0,1,0,0,0,0,1,0
29,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
30,0,1,1,3.32218303393412,1,4,0,0,1,0,0,1,0,0
31,1,1,0,4.9871673979011675,2,3,0,0,0,1,0,1,0,0
32,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
33,0,2,1,2.3513752571634776,1,6,0,0,1,0,0,0,0,1
34,0,1,1,4.408800007809053,2,2,0,0,1,0,0,1,0,0
35,0,1,1,3.9512437185814275,2,4,0,0,1,0,0,0,0,1
36,1,3,1,1.9781283799793465,1,3,0,0,1,0,0,1,0,0
37,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
38,0,3,0,2.8903717578961645,3,1,0,1,0,0,0,0,0,1
39,1,3,0,2.419630078580691,2,1,0,1,0,0,0,1,0,0
40,0,3,0,2.24865675096849,2,4,0,0,0,1,0,0,0,1
41,0,2,0,3.044522437723423,2,2,0,0,0,1,0,0,0,1
42,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,1,0,0
